Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
LAA,57,28.8,4.75,162,6251,5542,769,1368,268,21,220,734,65,20,586,1276,0.247,0.324,0.422,0.746,94,2338,143,67,4,42,29,1125,32,27,5.36,72,90,0.444,5.12,162,162,162,0,2,0,32,1442.2,1417,868,820,267,576,11,1404,82,9,98,6289,93,5.04,1.381,8.8,1.7,3.6,8.8,2.44,1093
LAD,46,27.9,5.47,162,6282,5493,886,1414,302,20,279,861,57,10,607,1356,0.257,0.338,0.472,0.81,112,2593,100,81,55,45,47,1124,26,28.9,3.78,106,56,0.654,3.37,162,162,159,3,18,1,44,1445.2,1201,613,541,185,392,24,1519,66,7,40,5913,123,3.73,1.102,7.5,1.2,2.4,9.5,3.88,963
MIA,50,28.4,3.8,162,6045,5512,615,1326,265,18,146,593,55,30,395,1469,0.241,0.298,0.375,0.673,78,2065,139,73,31,33,16,1034,26,26.5,4.99,57,105,0.352,4.74,162,162,160,2,8,2,27,1444.1,1340,808,760,236,615,52,1378,90,6,71,6247,91,4.89,1.354,8.3,1.5,3.8,8.6,2.24,1106
MIL,50,28.9,4.75,162,6309,5542,769,1366,279,17,250,744,101,25,629,1563,0.246,0.329,0.438,0.767,97,2429,120,72,20,38,42,1180,30,28.7,4.73,89,73,0.549,4.4,162,162,162,0,7,0,50,1459.1,1364,766,713,225,570,28,1497,60,3,41,6251,102,4.46,1.325,8.4,1.4,3.5,9.2,2.63,1107
MIN,50,27.8,5.8,162,6392,5732,939,1547,318,23,307,906,28,21,525,1334,0.27,0.338,0.494,0.832,119,2832,101,81,10,41,21,1115,31,28.2,4.65,101,61,0.623,4.18,162,162,161,1,10,0,50,1463.1,1456,754,680,198,452,10,1463,61,5,71,6246,108,4.02,1.304,9,1.2,2.8,9,3.24,1102
NYM,53,27.9,4.88,162,6290,5624,791,1445,280,17,242,767,56,27,516,1384,0.257,0.328,0.442,0.77,104,2485,129,95,28,27,34,1128,30,28.6,4.55,86,76,0.531,4.24,162,162,159,3,12,3,38,1461,1405,737,688,204,500,40,1520,60,2,47,6232,98,4.1,1.304,8.7,1.3,3.1,9.4,3.04,1112
NYY,54,28.3,5.82,162,6245,5583,943,1493,290,17,306,904,55,22,569,1437,0.267,0.339,0.49,0.829,117,2735,113,49,10,33,18,1039,33,30.2,4.56,103,59,0.636,4.31,162,162,161,1,9,1,50,1443,1374,739,691,248,507,12,1534,44,5,55,6133,106,4.47,1.304,8.6,1.5,3.2,9.6,3.03,1065
OAK,49,27.8,5.22,162,6269,5561,845,1384,292,23,257,800,49,21,578,1338,0.249,0.327,0.448,0.776,109,2493,140,87,7,36,17,1081,28,30.8,4.2,97,65,0.599,3.97,162,162,161,1,12,1,45,1465,1342,680,646,201,477,19,1299,66,4,74,6153,107,4.34,1.242,8.2,1.2,2.9,8,2.72,1078
PHI,56,27.7,4.78,162,6261,5571,774,1369,311,26,215,742,78,18,562,1453,0.246,0.319,0.427,0.746,92,2377,97,57,34,34,47,1129,34,28.4,4.9,81,81,0.5,4.53,162,162,159,3,7,1,36,1453.2,1452,794,731,258,546,38,1392,71,7,45,6274,98,4.88,1.374,9,1.6,3.4,8.6,2.55,1119
PIT,54,27.5,4.68,162,6228,5657,758,1497,315,38,163,722,64,29,425,1213,0.265,0.321,0.42,0.741,93,2377,119,63,47,34,41,1103,34,27.2,5.62,69,93,0.426,5.18,162,162,161,1,6,0,31,1440,1511,911,829,241,584,22,1443,85,4,50,6391,85,4.78,1.455,9.4,1.5,3.7,9,2.47,1160
SDP,54,26.2,4.21,162,6019,5391,682,1281,224,24,219,652,70,37,504,1581,0.238,0.308,0.41,0.718,90,2210,120,55,37,31,19,1008,34,26.3,4.87,70,92,0.432,4.6,162,162,162,0,6,0,47,1432,1394,789,732,215,463,19,1475,68,6,60,6160,90,4.22,1.297,8.8,1.4,2.9,9.3,3.19,1075
SEA,67,27.8,4.68,162,6199,5500,758,1305,254,28,239,730,115,47,588,1581,0.237,0.316,0.424,0.74,99,2332,83,58,14,37,7,1080,42,28.6,5.51,68,94,0.42,4.99,162,162,159,3,4,2,34,1439.1,1484,893,798,260,505,25,1239,51,4,75,6268,88,5,1.382,9.3,1.6,3.2,7.7,2.45,1057
SFG,64,29.9,4.19,162,6170,5579,678,1332,300,26,167,655,47,28,475,1435,0.239,0.302,0.392,0.694,83,2185,111,50,24,42,26,1069,35,28.9,4.77,77,85,0.475,4.38,162,162,161,1,8,0,41,1469,1395,773,715,227,519,26,1368,65,4,53,6256,97,4.55,1.303,8.5,1.4,3.2,8.4,2.64,1076
STL,43,28.8,4.72,162,6167,5449,764,1336,246,24,210,714,116,29,561,1420,0.245,0.322,0.415,0.737,95,2260,110,76,40,39,15,1107,23,27.8,4.09,91,71,0.562,3.8,162,162,161,1,14,1,52,1444,1284,662,609,191,545,41,1399,69,4,46,6068,110,4.27,1.267,8,1.2,3.4,8.7,2.57,1074
TBR,57,27.2,4.75,162,6285,5628,769,1427,291,29,217,730,94,37,542,1493,0.254,0.325,0.431,0.757,103,2427,114,73,8,34,20,1130,33,27.8,4.05,96,66,0.593,3.65,162,162,162,0,12,0,46,1474.1,1274,656,598,181,453,27,1621,60,7,59,6086,119,3.65,1.171,7.8,1.1,2.8,9.9,3.58,1007
TEX,53,28.8,5,162,6204,5540,810,1374,296,24,223,765,131,38,534,1578,0.248,0.319,0.431,0.75,88,2387,98,67,17,44,18,1066,36,28.3,5.42,78,84,0.481,5.06,162,162,158,4,9,1,33,1438,1515,878,808,241,583,11,1379,70,3,68,6354,102,4.84,1.459,9.5,1.5,3.6,8.6,2.37,1162
TOR,61,25.9,4.48,162,6091,5493,726,1299,270,21,247,697,51,20,509,1514,0.236,0.305,0.428,0.733,94,2352,107,45,14,28,10,1003,39,28,5.11,67,95,0.414,4.79,162,162,161,1,7,0,33,1440.1,1450,828,767,228,604,25,1332,69,6,70,6313,95,4.82,1.426,9.1,1.4,3.8,8.3,2.21,1164
WSN,50,28.8,5.39,162,6267,5512,873,1460,298,27,231,824,116,29,584,1308,0.265,0.342,0.454,0.796,105,2505,117,81,48,42,33,1114,31,30.8,4.47,93,69,0.574,4.27,162,162,161,1,13,1,40,1439.1,1340,724,683,202,517,41,1511,61,5,53,6134,104,4.14,1.29,8.4,1.3,3.2,9.4,2.92,
